district,lat,lon,t2m_mean,annual_precip_mean,soil_ph_prior,soil_oc_prior,soil_n_prior,soil_p_prior,soil_k_prior
Bhopal,23.2585,77.4019,,,,,,,
Sehore,23.115,77.0665,,,,,,,
Raisen,23.2676,78.1727,,,,,,,
Vidisha,23.8463,77.837,,,,,,,
Rajgarh,23.8717,76.7745,,,,,,,
Narmadapuram,22.6003,77.927,,,,,,,
